index	name	party	state	Foreign	Education	Individual property	Financial	Military	Law	Health service	Health expenses	Funds	Public transportation
1251	Meehan	R	PA	1.469952	2.246588	2.715453	2.587049	1.703999	1.002826	0.498819	2.311626	1.217188	-0.803864
1252	Meeks	D	NY	-4.930559	-2.999863	-2.266114	-2.894199	1.008777	-3.251868	-0.1235	-7.497023	-1.180696	-2.536233
1253	Moore	D	WI	-3.649277	-4.143100	-4.069476	-4.611871	-2.545482	-1.219014	-0.539155	-5.671553	-3.792599	1.507175
1254	Mulvaney	R	SC	4.443745	-4.638387	4.826483	0.260334	-4.011449	5.260082	1.665107	3.575957	4.108238	-2.103817
1255	Murphy	R	PA	3.289282	1.004707	4.041292	2.757101	0.699858	0.967156	-1.226271	2.289712	1.711945	1.679592
1256	Noem	R	SD	2.734809	1.227276	4.23726	1.777198	0.398283	0.803467	-0.319084	5.800978	1.141042	0.438576
1257	Nugent	R	FL	3.945645	0.000783	3.446859	0.945998	0.425583	1.265111	2.504997	2.702250	1.946339	-0.063943
1258	Nunnelee	R	MS	4.954762	0.902660	4.609433	2.205386	1.119017	1.97943	1.701671	3.884499	1.042942	1.535035
1259	Palazzo	R	MS	5.468998	-0.724125	6.024084	3.949354	0.65496	2.550327	1.668145	3.663350	1.017541	0.652375
1260	Polis	D	CO	-3.413113	-3.533720	-2.633398	-1.308305	-1.059878	-0.496924	-1.651678	-4.983926	-1.421027	-2.732671
1261	Pompeo	R	KS	5.272921	0.824082	4.810166	1.389659	1.511778	2.24334	3.037886	4.756172	4.860811	0.435511
1262	Quayle	R	AZ	5.724039	-0.925214	5.771722	1.199936	0.678607	2.34747	2.43332	4.911853	5.37655	-2.538441
1263	Renacci	R	OH	4.104515	3.184940	3.50407	2.750605	-0.003036	1.569086	1.339954	3.721010	-0.021642	0.186978
1264	Ribble	R	WI	3.293946	-2.503801	5.819751	4.504149	-3.414956	1.694921	-1.878574	6.419350	0.60925	-0.055691
1265	Richmond	D	LA	-2.674371	-2.259118	-3.589444	-1.836142	-0.560309	-2.667753	-1.175834	-5.842515	-1.769431	0.053346
1266	Rigell	R	VA	1.568221	-0.632587	5.058932	1.332361	0.144592	0.867564	1.161953	4.071014	0.898714	1.596090
1267	Rivera	R	FL	2.342568	3.444888	2.189827	2.97146	0.758956	1.337834	1.364678	2.317107	2.014975	0.248564
1268	Roby	R	AL	4.084485	0.856354	2.543614	2.84309	1.603883	-0.261837	1.664465	4.527544	1.531017	0.249469
1269	Rokita	R	IN	4.343722	-0.233935	4.101956	2.930885	-0.046402	2.433982	3.241193	3.505645	2.784637	0.539572
1270	Ross	D	AR	-0.742941	1.413996	-0.572956	-1.147035	1.91305	-0.427646	-2.179904	-0.705506	-0.288855	0.791970
1271	Ross	R	FL	4.268929	-2.126162	6.770515	1.100905	1.749324	0.939122	1.751618	3.751815	0.73685	-1.013059
1272	Runyan	R	NJ	3.018573	2.718822	2.277548	3.418587	-0.526406	1.179356	1.222239	2.552983	0.881761	1.442070
1273	Schilling	R	IL	3.549167	-0.198316	2.723362	1.372129	0.534187	4.189302	0.026262	4.926962	0.315177	1.659726
1274	Schweikert	R	AZ	2.597563	-3.000605	3.910744	1.5758	-2.025053	2.243694	0.129877	2.761588	3.942392	-0.356603
1275	Scott	R	SC	5.539404	-0.996071	3.386246	0.81642	-1.007098	1.743148	0.361502	4.913867	4.439609	-1.058925
